"id";"scientific_branch";"mark";"description";"active";"created_at";"updated_at";"scientific_field_id"
478;"Photography";"03";"";1;"2015-08-12 20:16:56";"2015-08-12 20:16:56";67
479;"Lighting design";"04";"";1;"2015-08-12 20:16:56";"2015-08-12 20:16:56";67
480;"Sound design";"05";"";1;"2015-08-12 20:16:56";"2015-08-12 20:16:56";67
481;"Film and media production";"06";"";1;"2015-08-12 20:16:56";"2015-08-12 20:16:56";67
482;"Production of stage and performing arts";"07";"";1;"2015-08-12 20:16:56";"2015-08-12 20:16:56";67
483;"Conservation and restoration";"08";"";1;"2015-08-12 20:16:56";"2015-08-14 09:05:17";67
484;"Art of dance and movement in general";"00";"";1;"2015-08-12 20:16:56";"2015-08-14 09:05:50";68
485;"Classical ballet";"01";"";1;"2015-08-12 20:16:57";"2015-08-12 20:16:57";68
486;"Contemporary ballet";"02";"";1;"2015-08-12 20:16:57";"2015-08-12 20:16:57";68
487;"Choreography";"03";"";1;"2015-08-12 20:16:57";"2015-08-12 20:16:57";68
488;"Pantomime";"04";"";1;"2015-08-12 20:16:57";"2015-08-12 20:16:57";68
489;"Dramatic movement";"05";"";1;"2015-08-12 20:16:57";"2015-08-12 20:16:57";68
490;"Design in general";"00";"";1;"2015-08-12 20:16:57";"2015-08-14 09:06:28";69
491;"Visual communications design";"01";"";1;"2015-08-12 20:16:57";"2015-08-12 20:16:57";69
492;"Industrial and product design";"02";"";1;"2015-08-12 20:16:57";"2015-08-12 20:16:57";69
493;"Fashion design";"03";"";1;"2015-08-12 20:16:57";"2015-08-12 20:16:57";69
494;"Interaction design";"04";"";1;"2015-08-12 20:16:57";"2015-08-12 20:16:57";69
496;"Nutrition science in general";"00";"";1;"2015-08-12 20:16:57";"2015-08-13 19:06:59";88
497;"Nutrition science";"01";"";1;"2015-08-12 20:16:57";"2015-08-12 20:16:57";88
498;"Diet therapy";"02";"";1;"2015-08-12 20:16:57";"2015-08-12 20:16:57";88
499;"Chemistry and biochemistry of food";"03";"";1;"2015-08-12 20:16:57";"2015-08-12 20:16:57";88
500;"Medical biochemistry";"09";"";1;"2015-08-12 20:16:58";"2015-08-12 20:16:58";27
501;"Conservation and restoration";"09";"";1;"2015-08-12 20:16:58";"2015-08-14 09:04:34";66
504;"Construction of vessel and offshore facilities";"01";"";1;"2015-08-13 18:19:31";"2015-08-13 18:20:16";12
505;"Writer";"01";"";1;"2015-08-14 09:08:38";"2015-08-14 09:08:38";89
506;"Literary translator";"02";"";1;"2015-08-14 09:09:42";"2015-08-14 09:09:42";89
507;"Literature in general";"00";"";1;"2015-08-14 09:11:38";"2015-08-14 09:11:38";89
